Raw Data,,,,,,Next Interval,,,,,,Calculated from Raw/Previous Intervals,,,,,,,,Label
usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,row_collected_at,next_interval_usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,row_collected_at,seconds_between_update,5 Min Change,30 min change,usd mcap 5 min change,usd mcap 30 min change,5 min vol,30 min vol change,5 min mcap nominal,goes_up
30091,561885703250,20107507851,1.435035447,1626841116,1626841138,30635,565298130903,20946931974,3.300971975,1626841765,1626841803,649,,,,,,,,TRUE
30635,565298130903,20946931974,3.300971975,1626841765,1626841803,30707,576124179478,21057706369,3.56089541,1626842080,1626842102,315,544,,3412427653,,839424123,,TRUE,TRUE
30707,576124179478,21057706369,3.56089541,1626842080,1626842102,31052,576124179478,21402761880,4.35502539,1626842370,1626842409,290,72,,10826048575,,110774395,,TRUE,TRUE
31052,576124179478,21402761880,4.35502539,1626842370,1626842409,30930,580855138701,21354087900,3.731209805,1626842657,1626842709,287,345,,0,,345055511.1,,TRUE,FALSE
30930,580855138701,21354087900,3.731209805,1626842657,1626842709,30859,580855138701,21310368695,3.191680345,1626842983,1626843011,326,-122,,4730959223,,-48673979.71,,TRUE,FALSE
30859,580855138701,21310368695,3.191680345,1626842983,1626843011,30822,578977363443,21292098928,3.524318011,1626843275,1626843302,292,-71,768,0,18969435451,-43719205.27,1202860844,TRUE,FALSE
30822,578977363443,21292098928,3.524318011,1626843275,1626843302,30811,578977363443,21280300526,3.486339567,1626843597,1626843619,322,-37,187,-1877775257,13679232541,-18269767.61,345166953.5,FALSE,FALSE
30811,578977363443,21280300526,3.486339567,1626843597,1626843619,30787,578076615708,21206945850,3.298486376,1626843867,1626843904,270,-11,104,0,2853183966,-11798402.06,222594156.5,FALSE,FALSE
30787,578076615708,21206945850,3.298486376,1626843867,1626843904,30701,578076615708,20910159128,3.007999599,1626844178,1626844217,311,-24,-265,-900747734.9,1952436231,-73354675.79,-195816030.4,FALSE,FALSE
30701,578076615708,20910159128,3.007999599,1626844178,1626844217,30706,578076615708,20927544264,3.076425176,1626844474,1626844504,296,-86,-229,0,-2778522992,-296786722.1,-443928772.9,FALSE,TRUE
30706,578076615708,20927544264,3.076425176,1626844474,1626844504,30692,578076615708,21477711247,3.247227115,1626844778,1626844802,304,5,-153,0,-2778522992,17385136.13,-382824431.5,FALSE,FALSE
30692,578076615708,21477711247,3.247227115,1626844778,1626844802,30647,578076615708,21320471099,2.854914629,1626845098,1626845106,320,-14,-130,0,-900747734.9,550166983.1,185612319.2,FALSE,FALSE
30647,578076615708,21320471099,2.854914629,1626845098,1626845106,30707,578076615708,21544502778,2.977368429,1626845372,1626845402,274,-45,-164,0,-900747734.9,-157240148.2,40170573.04,FALSE,TRUE
30707,578076615708,21544502778,2.977368429,1626845372,1626845402,30716,578076615708,21601103871,3.095550716,1626845679,1626845705,307,60,-80,0,0,224031679.7,337556928.5,FALSE,TRUE
30716,578076615708,21601103871,3.095550716,1626845679,1626845705,30794,578076615708,21712056907,3.569508808,1626845990,1626846011,311,9,15,0,0,56601092.42,690944743.1,FALSE,TRUE
30794,578076615708,21712056907,3.569508808,1626845990,1626846011,30800,577970193929,21718841066,3.627256617,1626846257,1626846306,267,78,88,0,0,110953036.7,784512643.7,FALSE,TRUE
30800,577970193929,21718841066,3.627256617,1626846257,1626846306,30791,577970193929,21765952068,3.559718653,1626846588,1626846609,331,6,108,-106421779.8,-106421779.8,6784158.339,241129818.9,FALSE,FALSE
30791,577970193929,21765952068,3.559718653,1626846588,1626846609,30798,577970193929,21843709169,3.583991539,1626846890,1626846901,302,-9,144,0,-106421779.8,47111002.22,445480969.4,FALSE,TRUE
30798,577970193929,21843709169,3.583991539,1626846890,1626846901,30798,577970193929,21843709169,3.583991539,1626846890,1626847262,0,7,91,0,-106421779.8,77757100.79,299206390.5,FALSE,FALSE
30798,577970193929,21843709169,3.583991539,1626846890,1626847262,30785,577970193929,21910253887,3.289129154,1626847480,1626847502,590,0,82,0,-106421779.8,0,242605298.1,FALSE,FALSE
30785,577970193929,21910253887,3.289129154,1626847480,1626847502,30784,577970193929,21772614980,3.229498073,1626847796,1626847809,316,-13,-9,0,-106421779.8,66544718.42,198196979.8,FALSE,FALSE
30784,577970193929,21772614980,3.229498073,1626847796,1626847809,30770,577970193929,21918072684,3.183507547,1626848086,1626848110,290,-1,-16,0,0,-137638907,53773914.45,FALSE,FALSE
